Disgust,Fear,Inspiration,Joy,Sadness,Tenderness,Overall
0.06896551724137931,0.06666666666666667,0.12121212121212122,0.19444444444444445,0.4074074074074074,0.10344827586206896,0.160357405472348
0.06896551724137931,0.2,0.15151515151515152,0.08333333333333333,0.2222222222222222,0.2413793103448276,0.161235922442819
0.13793103448275862,0.13333333333333333,0.12121212121212122,0.25,0.2222222222222222,0.20689655172413793,0.17859921049576222
0.13793103448275862,0.03333333333333333,0.18181818181818182,0.25,0.2222222222222222,0.1724137931034483,0.16628642749332403
0.1724137931034483,0.06666666666666667,0.24242424242424243,0.16666666666666666,0.2222222222222222,0.2413793103448276,0.18529548357134562
0.13793103448275862,0.16666666666666666,0.18181818181818182,0.2222222222222222,0.2962962962962963,0.1724137931034483,0.19622469909826235
0.1724137931034483,0.13333333333333333,0.09090909090909091,0.25,0.37037037037037035,0.10344827586206896,0.1867458105963853
0.06896551724137931,0.13333333333333333,0.24242424242424243,0.16666666666666666,0.18518518518518517,0.20689655172413793,0.16724524942915744
0.10344827586206896,0.13333333333333333,0.30303030303030304,0.25,0.25925925925925924,0.13793103448275862,0.19783370099462053
0.06896551724137931,0.13333333333333333,0.18181818181818182,0.19444444444444445,0.25925925925925924,0.10344827586206896,0.15687816865977786
0.10344827586206896,0.16666666666666666,0.12121212121212122,0.1388888888888889,0.3333333333333333,0.27586206896551724,0.18990189248809938
0.27586206896551724,0.06666666666666667,0.12121212121212122,0.3611111111111111,0.2222222222222222,0.2413793103448276,0.21474225008707767
0.06896551724137931,0.26666666666666666,0.09090909090909091,0.3055555555555556,0.2222222222222222,0.27586206896551724,0.20503018692673866
0.20689655172413793,0.16666666666666666,0.12121212121212122,0.1388888888888889,0.14814814814814814,0.13793103448275862,0.15329056852045356
0.06896551724137931,0.2,0.21212121212121213,0.25,0.1111111111111111,0.06896551724137931,0.1518605596191803
0.27586206896551724,0.06666666666666667,0.30303030303030304,0.19444444444444445,0.18518518518518517,0.1724137931034483,0.19960041023259412
0.27586206896551724,0.2,0.2727272727272727,0.3055555555555556,0.18518518518518517,0.3793103448275862,0.26977340454351945
0.06896551724137931,0.16666666666666666,0.15151515151515152,0.25,0.25925925925925924,0.1724137931034483,0.1781367312976508
0.13793103448275862,0.23333333333333334,0.09090909090909091,0.19444444444444445,0.25925925925925924,0.2413793103448276,0.19287607879561905
0.13793103448275862,0.16666666666666666,0.12121212121212122,0.2222222222222222,0.2962962962962963,0.2413793103448276,0.1976179418708154
0.13793103448275862,0.26666666666666666,0.24242424242424243,0.1388888888888889,0.2222222222222222,0.27586206896551724,0.21399918727504938
0.06896551724137931,0.16666666666666666,0.12121212121212122,0.2777777777777778,0.1111111111111111,0.2413793103448276,0.16451875072564728
0.10344827586206896,0.06666666666666667,0.15151515151515152,0.19444444444444445,0.18518518518518517,0.2413793103448276,0.15710650566972406
0.13793103448275862,0.13333333333333333,0.18181818181818182,0.1111111111111111,0.2962962962962963,0.1724137931034483,0.17215062502418824
0.13793103448275862,0.13333333333333333,0.12121212121212122,0.2222222222222222,0.07407407407407407,0.1724137931034483,0.14353109640465964
0.034482758620689655,0.3,0.3333333333333333,0.3055555555555556,0.14814814814814814,0.27586206896551724,0.2328969774372073
0.27586206896551724,0.26666666666666666,0.09090909090909091,0.3333333333333333,0.07407407407407407,0.20689655172413793,0.20795696427880336
0.1724137931034483,0.23333333333333334,0.30303030303030304,0.16666666666666666,0.2222222222222222,0.2413793103448276,0.2231742714501335
0.06896551724137931,0.13333333333333333,0.24242424242424243,0.25,0.2962962962962963,0.20689655172413793,0.19965265683656488
0.13793103448275862,0.06666666666666667,0.06060606060606061,0.2777777777777778,0.2222222222222222,0.13793103448275862,0.15052246603970743
